starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 22 14:47:25 2016	1479822445	0	2	2	2
Tue Nov 22 14:47:24 2016	1479822444	0	2	2	2
Tue Nov 22 14:47:32 2016	1479822452	0	2	2	2
Tue Nov 22 14:47:29 2016	1479822449	0	2	3	2
Tue Nov 22 14:47:27 2016	1479822447	0	2	3	2
Tue Nov 22 14:47:28 2016	1479822448	0	3	3	2
Tue Nov 22 14:47:28 2016	1479822448	0	2	3	2
Tue Nov 22 14:47:34 2016	1479822454	0	3	3	2
Tue Nov 22 14:47:27 2016	1479822447	0	3	3	3
Tue Nov 22 14:47:29 2016	1479822449	0	3	3	3
Tue Nov 22 14:47:30 2016	1479822450	0	3	3	3
Tue Nov 22 14:47:28 2016	1479822448	0	3	3	3
Tue Nov 22 14:47:32 2016	1479822452	0	3	3	3
Tue Nov 22 14:47:24 2016	1479822444	0	3	3	3
Tue Nov 22 14:47:27 2016	1479822447	0	3	3	3
Tue Nov 22 14:47:29 2016	1479822449	0	3	3	3
Tue Nov 22 14:47:33 2016	1479822453	0	3	3	3
Tue Nov 22 14:47:29 2016	1479822449	0	3	4	3
Tue Nov 22 14:47:28 2016	1479822448	0	3	4	3
Tue Nov 22 14:47:29 2016	1479822449	0	3	4	3
Tue Nov 22 14:47:30 2016	1479822450	0	3	4	3
Tue Nov 22 14:47:33 2016	1479822453	0	3	4	3
Tue Nov 22 14:47:32 2016	1479822452	0	4	4	3
Tue Nov 22 14:47:27 2016	1479822447	0	4	4	3
Tue Nov 22 14:47:28 2016	1479822448	0	4	4	4
Tue Nov 22 14:47:29 2016	1479822449	0	4	4	4
Tue Nov 22 14:47:24 2016	1479822444	0	4	4	4
Tue Nov 22 14:47:28 2016	1479822448	0	4	4	4
Tue Nov 22 14:47:29 2016	1479822449	0	4	4	3
Tue Nov 22 14:47:32 2016	1479822452	0	4	4	4
Tue Nov 22 14:47:29 2016	1479822449	0	4	4	3
Tue Nov 22 14:47:32 2016	1479822452	0	4	4	4
Tue Nov 22 14:47:34 2016	1479822454	0	4	4	4
Tue Nov 22 14:47:29 2016	1479822449	0	4	4	4
Tue Nov 22 14:47:32 2016	1479822452	0	4	4	4
Tue Nov 22 14:47:26 2016	1479822446	0	4	4	4
Tue Nov 22 14:47:29 2016	1479822449	0	4	4	4
Tue Nov 22 14:47:32 2016	1479822452	0	4	4	4
Tue Nov 22 14:47:34 2016	1479822454	0	4	5	4
Tue Nov 22 14:47:31 2016	1479822451	0	4	5	4
Tue Nov 22 14:47:24 2016	1479822444	0	4	5	4
Tue Nov 22 14:47:26 2016	1479822446	0	4	5	4
Tue Nov 22 14:47:26 2016	1479822446	0	4	5	4
Tue Nov 22 14:47:24 2016	1479822444	0	4	5	4
Tue Nov 22 14:47:26 2016	1479822446	0	4	5	4
Tue Nov 22 14:47:28 2016	1479822448	0	4	5	4
Tue Nov 22 14:47:33 2016	1479822453	0	4	5	4
Tue Nov 22 14:47:34 2016	1479822454	0	4	5	4
Tue Nov 22 14:47:24 2016	1479822444	0	5	5	4
Tue Nov 22 14:47:28 2016	1479822448	0	5	5	4
Tue Nov 22 14:47:29 2016	1479822449	0	4	5	4
Tue Nov 22 14:47:26 2016	1479822446	0	4	5	4
Tue Nov 22 14:47:26 2016	1479822446	0	5	5	4
Tue Nov 22 14:47:26 2016	1479822446	0	5	5	5
Tue Nov 22 14:47:29 2016	1479822449	0	5	5	4
Tue Nov 22 14:47:32 2016	1479822452	0	5	5	4
Tue Nov 22 14:47:30 2016	1479822450	0	5	5	5
Tue Nov 22 14:47:26 2016	1479822446	0	5	5	5
Tue Nov 22 14:47:28 2016	1479822448	0	5	5	4
Tue Nov 22 14:47:33 2016	1479822453	1	4	5	4
Tue Nov 22 14:47:34 2016	1479822454	0	5	5	5
Tue Nov 22 14:47:32 2016	1479822452	0	5	5	5
Tue Nov 22 14:47:25 2016	1479822445	2	3	5	3
Tue Nov 22 14:47:27 2016	1479822447	0	5	5	5
Tue Nov 22 14:47:28 2016	1479822448	0	5	5	5
Tue Nov 22 14:47:32 2016	1479822452	0	5	5	5
Tue Nov 22 14:47:29 2016	1479822449	1	5	5	5
Tue Nov 22 14:47:24 2016	1479822444	0	5	5	5
Tue Nov 22 14:47:32 2016	1479822452	1	5	5	5
Tue Nov 22 14:47:26 2016	1479822446	0	5	5	4
Tue Nov 22 14:47:26 2016	1479822446	0	5	5	5
Tue Nov 22 14:47:26 2016	1479822446	0	5	5	5
Tue Nov 22 14:47:33 2016	1479822453	0	5	5	5
Tue Nov 22 14:47:25 2016	1479822445	0	5	5	3
Tue Nov 22 14:47:33 2016	1479822453	0	5	5	5
