starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 22 14:48:21 2016	1479822501	1	2	3	2
Tue Nov 22 14:48:17 2016	1479822497	1	3	3	2
Tue Nov 22 14:48:19 2016	1479822499	1	3	4	3
Tue Nov 22 14:48:20 2016	1479822500	1	3	4	3
Tue Nov 22 14:48:21 2016	1479822501	1	4	4	3
Tue Nov 22 14:48:19 2016	1479822499	1	4	4	3
Tue Nov 22 14:48:12 2016	1479822492	1	4	5	2
Tue Nov 22 14:48:19 2016	1479822499	1	4	5	4
Tue Nov 22 14:48:21 2016	1479822501	1	4	5	4
Tue Nov 22 14:48:20 2016	1479822500	1	5	5	4
Tue Nov 22 14:48:12 2016	1479822492	1	4	5	4
Tue Nov 22 14:48:10 2016	1479822490	1	4	5	4
Tue Nov 22 14:48:12 2016	1479822492	1	4	5	4
Tue Nov 22 14:48:17 2016	1479822497	1	5	6	5
Tue Nov 22 14:48:16 2016	1479822496	1	5	6	5
Tue Nov 22 14:48:14 2016	1479822494	2	4	6	4
Tue Nov 22 14:48:18 2016	1479822498	1	5	6	5
Tue Nov 22 14:48:11 2016	1479822491	1	5	6	5
Tue Nov 22 14:48:13 2016	1479822493	1	5	6	4
Tue Nov 22 14:48:16 2016	1479822496	1	5	6	5
Tue Nov 22 14:48:12 2016	1479822492	1	5	6	5
Tue Nov 22 14:48:20 2016	1479822500	1	6	7	6
Tue Nov 22 14:48:07 2016	1479822487	1	6	7	6
Tue Nov 22 14:48:12 2016	1479822492	2	5	7	4
Tue Nov 22 14:48:13 2016	1479822493	1	6	7	6
Tue Nov 22 14:48:14 2016	1479822494	1	6	7	6
Tue Nov 22 14:48:14 2016	1479822494	1	6	7	6
Tue Nov 22 14:48:16 2016	1479822496	1	6	7	6
Tue Nov 22 14:48:18 2016	1479822498	1	6	7	6
Tue Nov 22 14:48:17 2016	1479822497	1	6	7	6
Tue Nov 22 14:48:18 2016	1479822498	1	6	7	6
Tue Nov 22 14:48:18 2016	1479822498	1	6	7	6
Tue Nov 22 14:48:14 2016	1479822494	1	6	7	6
Tue Nov 22 14:48:06 2016	1479822486	1	6	7	6
Tue Nov 22 14:48:19 2016	1479822499	2	6	7	6
Tue Nov 22 14:48:20 2016	1479822500	1	7	7	7
Tue Nov 22 14:48:16 2016	1479822496	1	7	8	6
Tue Nov 22 14:48:19 2016	1479822499	1	7	8	6
Tue Nov 22 14:48:19 2016	1479822499	1	6	8	6
Tue Nov 22 14:48:21 2016	1479822501	2	6	8	6
Tue Nov 22 14:48:19 2016	1479822499	2	6	8	6
Tue Nov 22 14:48:17 2016	1479822497	1	7	8	7
Tue Nov 22 14:48:20 2016	1479822500	1	7	8	7
Tue Nov 22 14:48:14 2016	1479822494	1	7	8	6
Tue Nov 22 14:48:06 2016	1479822486	1	7	8	7
Tue Nov 22 14:48:20 2016	1479822500	2	5	8	5
Tue Nov 22 14:48:17 2016	1479822497	1	7	8	7
Tue Nov 22 14:48:11 2016	1479822491	1	7	8	7
Tue Nov 22 14:48:21 2016	1479822501	1	7	8	6
Tue Nov 22 14:48:11 2016	1479822491	2	6	8	6
Tue Nov 22 14:48:21 2016	1479822501	1	7	8	6
Tue Nov 22 14:48:13 2016	1479822493	1	7	8	7
Tue Nov 22 14:48:13 2016	1479822493	2	6	8	4
Tue Nov 22 14:48:14 2016	1479822494	1	7	8	7
Tue Nov 22 14:48:11 2016	1479822491	3	5	8	3
Tue Nov 22 14:48:11 2016	1479822491	1	7	8	7
Tue Nov 22 14:48:20 2016	1479822500	1	7	8	7
Tue Nov 22 14:48:17 2016	1479822497	1	8	8	7
Tue Nov 22 14:48:11 2016	1479822491	1	7	8	6
Tue Nov 22 14:48:16 2016	1479822496	1	7	8	7
Tue Nov 22 14:48:17 2016	1479822497	1	7	8	6
Tue Nov 22 14:48:19 2016	1479822499	1	8	8	8
Tue Nov 22 14:48:18 2016	1479822498	1	7	8	6
Tue Nov 22 14:48:17 2016	1479822497	2	6	8	6
Tue Nov 22 14:48:19 2016	1479822499	1	7	8	7
Tue Nov 22 14:48:11 2016	1479822491	1	7	8	7
Tue Nov 22 14:48:18 2016	1479822498	1	7	8	7
Tue Nov 22 14:48:20 2016	1479822500	1	7	8	7
Tue Nov 22 14:48:18 2016	1479822498	1	8	8	7
Tue Nov 22 14:48:12 2016	1479822492	1	7	8	7
Tue Nov 22 14:48:18 2016	1479822498	2	6	8	5
Tue Nov 22 14:48:19 2016	1479822499	1	8	8	7
Tue Nov 22 14:48:11 2016	1479822491	1	7	9	7
Tue Nov 22 14:48:19 2016	1479822499	1	8	9	5
Tue Nov 22 14:48:20 2016	1479822500	1	8	9	6
Tue Nov 22 14:48:16 2016	1479822496	2	7	9	6
Tue Nov 22 14:48:15 2016	1479822495	2	7	9	6
Tue Nov 22 14:48:16 2016	1479822496	3	5	9	5
Tue Nov 22 14:48:21 2016	1479822501	1	8	9	8
Tue Nov 22 14:48:19 2016	1479822499	1	7	9	7
Tue Nov 22 14:48:17 2016	1479822497	2	7	9	7
Tue Nov 22 14:48:16 2016	1479822496	1	8	9	5
Tue Nov 22 14:48:20 2016	1479822500	1	8	9	7
